,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
1220,YFL026W,226342.1199,216512.7204,257277.6583,924307.9485,922513.6386,876242.9878,1.54E-05,0.578716406,4.58E-06,100,0.000633313,TRUE,4
200,YBR074W,850269.4017,845946.2228,822306.8249,385050.7854,423556.0591,405772.3656,1.57E-05,0.474045499,6.63E-06,101,0.000641163,TRUE,8
405,YCR010C,311994.0935,300372.7208,337626.8514,807067.6065,857814.8932,851602.6714,1.59E-05,0.588823676,1.13E-05,102,0.00064154,TRUE,2
2050,YJL102W,444240.927,449110.7677,454128.1559,752059.6172,725710.4384,705432.7242,1.61E-05,0.515619867,3.55E-05,103,0.000644163,TRUE,4
991,YDR512C,422545.765,399847.2421,428649.2557,756082.9672,770214.2741,739764.0553,1.63E-05,0.613469016,1.08E-05,104,0.00064519,TRUE,4
1166,YER142C,721426.2044,705104.325,712760.8706,502934.4775,522049.334,504126.1247,1.67E-05,0.429400768,1.27E-05,105,0.000653617,TRUE,5
659,YDR038C,795531.1905,792833.2348,838761.8293,420738.5135,446623.7721,425868.7004,1.67E-05,0.443422929,2.34E-05,106,0.000647545,TRUE,9
2482,YLL023C,453717.2243,464829.8841,459371.8523,715340.4314,743739.7067,701621.1074,1.70E-05,0.560700547,3.43E-05,107,0.000655869,TRUE,3
1961,YIL162W,802723.5505,864076.6739,796342.5231,412468.8118,426313.4653,418548.0677,1.71E-05,0.566283283,5.24E-05,108,0.000651825,TRUE,7
3273,YNL177C,312105.8272,297628.9479,317084.7438,829001.5087,908686.4277,802335.0177,1.77E-05,0.618411166,7.79E-05,109,0.000666977,TRUE,3
3030,YMR174C,199685.2522,205022.7184,222573.915,900294.0058,1028607.298,863740.4802,1.77E-05,0.593478492,0.000138827,110,0.000662927,TRUE,2
1633,YGR251W,1097635.917,976548.5158,1031094.876,252336.6752,258182.5461,220000.8681,1.78E-05,0.449327683,2.81E-05,111,0.000661247,TRUE,1
2385,YKL209C,243477.6486,238183.3437,275733.3967,853291.5646,935379.7444,890301.1604,1.79E-05,0.593792027,1.73E-05,112,0.000659431,TRUE,4
3321,YNL244C,504808.5933,514407.8644,518487.0668,682833.5146,664110.4375,677662.4127,1.80E-05,0.457910818,1.94E-05,113,0.000654741,TRUE,17
2833,YML025C,373154.8507,409353.7786,390351.4772,788049.8745,778539.9561,760965.5482,1.80E-05,0.465207766,8.05E-06,114,0.000649797,TRUE,7
2335,YKL141W,383356.7698,402186.0092,409750.7444,798116.6934,763078.7143,747775.9296,1.84E-05,0.496030413,2.51E-05,115,0.000659144,TRUE,4
623,YDL222C,288519.2537,256194.8805,299925.121,869067.9588,870162.734,862585.9792,1.87E-05,0.596661361,1.59E-06,116,0.000662808,TRUE,2
3543,YOL146W,773014.2851,816933.1726,815107.3096,424959.5317,452064.1903,432596.8576,1.91E-05,0.496759504,2.44E-05,117,0.000673303,TRUE,3
3676,YOR201C,419976.9551,387457.0794,391581.9335,770036.3998,784466.656,753315.9759,1.94E-05,0.589097405,1.10E-05,118,0.00067627,TRUE,2
3958,YPL234C,744198.2539,777689.6816,762529.8141,454102.9878,476985.5097,476685.9345,1.97E-05,0.528642499,1.86E-05,119,0.000681019,TRUE,3
2792,YLR430W,742264.0122,752274.6741,757499.8195,469155.5458,496506.6643,470909.6634,1.98E-05,0.45375582,1.05E-05,120,0.000680983,TRUE,17
1130,YER088C,434464.7133,449356.3499,416829.6044,732435.418,751526.171,737852.166,2.02E-05,0.484817829,9.74E-06,121,0.000688705,TRUE,5
368,YCL025C,451165.2666,454586.8889,436871.6723,734634.3285,703941.3229,744802.3133,2.03E-05,0.433525591,3.11E-05,122,0.000684292,TRUE,1
2464,YKR097W,173770.0664,184715.1653,218171.4905,926232.7935,938059.686,958743.4023,2.05E-05,0.538109161,1.37E-06,123,0.000687801,TRUE,15
201,YBR077C,381323.4905,409911.3279,409001.0323,773175.6369,787830.9538,746675.524,2.13E-05,0.519251914,1.74E-05,124,0.000706165,TRUE,1
2600,YLR138W,730324.0594,728008.5389,705085.5835,491298.4788,506266.1452,509149.2207,2.14E-05,0.523866756,2.35E-05,125,0.000704922,TRUE,1
1189,YER170W,311889.1046,323912.5059,351728.4213,809285.2859,861037.0602,816474.8514,2.17E-05,0.571945991,1.53E-05,126,0.000707768,TRUE,3
3039,YMR188C,370435.5015,348541.1498,372179.618,800080.9265,838254.8765,762726.5934,2.17E-05,0.623086571,4.61E-05,127,0.000703594,TRUE,5
2393,YKL218C,787207.5196,816651.1136,829132.7214,411764.9773,426746.8401,446431.6604,2.19E-05,0.534572003,1.80E-05,128,0.000704047,TRUE,2
986,YDR506C,952034.5185,962818.7218,858460.9775,315730.5788,338532.9283,343579.3597,2.20E-05,0.540888524,6.56E-05,129,0.000702838,TRUE,2
2754,YLR382C,392514.7192,413138.7501,422450.1051,748370.8674,787475.0176,750049.5704,2.23E-05,0.55415309,2.23E-05,130,0.000706373,TRUE,10
2366,YKL184W,842771.3534,808332.7489,876595.4183,396334.8518,421862.6344,392828.5868,2.23E-05,0.420434106,3.55E-05,131,0.000701763,TRUE,1
2704,YLR304C,383183.2095,349035.5475,371031.0026,784051.0032,829920.7614,776276.8528,2.31E-05,0.62940141,2.52E-05,132,0.000721498,TRUE,65
