,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
680,YDL209C,437597.8012,421827.343,432047.6618,766194.3676,759442.0492,750817.8349,1.31E-06,0.552246703,8.71E-07,84,7.09E-05,TRUE,6
261,YBR120C,339460.6073,340445.5905,344480.6468,814997.436,862252.4242,815406.7904,1.31E-06,0.559717279,6.41E-06,85,7.04E-05,TRUE,11
4284,YPL106C,757688.974,766723.0599,756023.2164,488482.9125,502329.9107,497529.2463,1.34E-06,0.510875277,9.33E-07,86,7.12E-05,TRUE,129
4177,YOR356W,337088.1904,329277.8326,351177.0237,840686.0712,829411.1823,825933.7429,1.35E-06,0.545028003,3.76E-07,87,7.07E-05,TRUE,28
662,YDL185W,858357.3266,843083.2583,835062.8327,416685.8467,432284.455,433502.562,1.43E-06,0.500672845,1.13E-06,88,7.41E-05,TRUE,157
2356,YJL218W,1121808.589,1193860.408,1084462.737,187224.4878,204418.6581,200857.8891,1.47E-06,0.52794937,8.69E-06,89,7.53E-05,TRUE,2
3527,YNL065W,323109.5574,320732.8369,331776.114,862066.1585,811401.4213,853041.8076,1.51E-06,0.497504078,5.42E-06,90,7.65E-05,TRUE,6
2992,YLR304C,412717.8864,411762.8007,421203.8699,779326.9977,752331.3943,780484.9965,1.57E-06,0.496613153,3.28E-06,91,7.87E-05,TRUE,94
4206,YPL008W,547586.9763,549978.3527,544681.5239,664959.7132,669983.9022,662129.9344,1.59E-06,0.526990934,1.77E-06,92,7.87E-05,TRUE,4
1703,YGR116W,717138.6161,728487.7141,721979.454,525110.8135,531867.9432,521861.9589,1.60E-06,0.512355413,1.53E-06,93,7.84E-05,TRUE,69
3296,YMR110C,455360.9955,452445.2636,458750.8098,745458.0191,723462.9682,746755.0032,1.63E-06,0.493814003,3.40E-06,94,7.89E-05,TRUE,24
1532,YGL144C,811754.8317,833177.9582,804546.6149,444035.1745,457507.5885,451555.4339,1.65E-06,0.528003159,2.66E-06,95,7.91E-05,TRUE,2
222,YBR074W,1010744.011,999556.4756,982940.8327,297670.6801,322439.3078,298943.4659,1.68E-06,0.48181704,4.43E-07,96,7.98E-05,TRUE,7
1177,YER004W,423721.8459,420907.6548,436528.3221,766576.8217,768719.6356,751220.3932,1.68E-06,0.554550189,1.36E-06,97,7.92E-05,TRUE,9
1245,YER077C,384511.6199,389047.4858,403528.7949,792921.3665,797761.0991,779332.5476,1.69E-06,0.542090387,9.59E-07,98,7.85E-05,TRUE,13
3869,YOL095C,433354.3708,446353.4886,447451.2476,751300.6253,757714.3283,740889.5568,1.70E-06,0.521155954,1.32E-06,99,7.84E-05,TRUE,3
1341,YFL010C,931579.7436,963003.3392,904505.0184,352684.8046,366874.4561,353506.708,1.71E-06,0.524957689,5.12E-06,100,7.78E-05,TRUE,10
2994,YLR306W,780650.4859,800885.3002,786059.1145,472845.1298,480806.6143,465930.4495,1.73E-06,0.516769415,1.82E-06,101,7.82E-05,TRUE,5
4194,YOR377W,948537.6039,940746.6072,943065.1472,336256.1695,364011.5242,348509.5254,1.73E-06,0.4796793,2.34E-07,102,7.75E-05,TRUE,13
2582,YKL129C,808654.169,822089.6852,792467.8187,456742.2025,464599.2927,452194.6189,1.76E-06,0.523730418,2.98E-06,103,7.81E-05,TRUE,16
3528,YNL066W,903483.2723,959367.4718,902671.0642,372035.3939,366839.201,362093.5147,1.82E-06,0.55864928,8.16E-06,104,7.97E-05,TRUE,4
1135,YEL021W,1233539.614,1235539.64,1211460.203,115054.1723,137087.0597,119003.9652,1.83E-06,0.481360839,4.51E-08,105,7.95E-05,TRUE,21
787,YDR116C,436442.549,425694.7203,444883.5688,757023.5588,751465.2537,756126.0294,1.85E-06,0.549126242,6.59E-07,106,7.96E-05,TRUE,6
744,YDR058C,416692.2899,400322.838,412719.6818,765921.8699,770328.2469,788755.1617,1.87E-06,0.543659458,1.80E-06,107,7.96E-05,TRUE,1
3349,YMR173W,942428.6383,980942.6133,911959.9175,341603.103,354658.7934,347353.4887,1.90E-06,0.535284475,7.97E-06,108,8.01E-05,TRUE,15
4250,YPL065W,964030.7087,996328.6389,1021051.831,299558.4791,323222.6356,311445.5077,1.90E-06,0.492515281,2.81E-06,109,7.94E-05,TRUE,4
1583,YGL212W,353612.5566,362759.4147,375021.059,824559.6121,800290.5737,811920.8979,1.90E-06,0.505584967,1.13E-06,110,7.88E-05,TRUE,4
1877,YHR005C-A,457580.575,472530.7461,463525.3988,729534.0004,726038.5237,739353.1813,1.91E-06,0.471241775,1.42E-06,111,7.87E-05,TRUE,15
3451,YMR293C,404032.5997,401116.2189,409946.0382,791902.7949,789612.6834,757610.5353,1.96E-06,0.549797865,5.06E-06,112,7.98E-05,TRUE,8
2588,YKL138C,214863.8926,219833.3329,236436.5843,922300.7669,895239.7141,952568.3568,1.97E-06,0.510301606,2.50E-06,113,7.93E-05,TRUE,4
3674,YNL252C,360058.968,365705.068,380035.2497,794832.9056,822684.9461,809665.0399,1.99E-06,0.546825305,1.59E-06,114,7.95E-05,TRUE,13
1011,YDR393W,462690.7144,461791.8795,460166.8343,737943.7849,717938.3132,744810.5042,2.01E-06,0.477484775,4.68E-06,115,7.96E-05,TRUE,4
582,YDL088C,849446.9063,867251.9826,852902.6706,410049.2132,432622.8734,416067.7206,2.02E-06,0.496300904,9.30E-07,116,7.94E-05,TRUE,8
1372,YFL048C,873654.4723,856820.9453,856486.9916,404096.6355,427389.9499,412013.3625,2.03E-06,0.474481275,9.26E-07,117,7.91E-05,TRUE,18
2768,YLL045C,544366.9201,549049.817,546511.9558,671306.5205,661970.2325,665302.6229,2.05E-06,0.471478796,2.53E-06,118,7.93E-05,TRUE,44
3949,YOR057W,779308.7877,797333.5565,774162.793,482555.7291,479354.0973,469839.6457,2.06E-06,0.542452001,2.77E-06,119,7.88E-05,TRUE,9
2285,YJL117W,826113.5042,825374.6123,809702.1826,442793.3855,459711.6576,441228.959,2.06E-06,0.489820612,1.26E-06,120,7.83E-05,TRUE,11
3071,YLR411W,139264.1025,139615.8691,160126.961,986989.2195,992827.1551,978717.9389,2.06E-06,0.543184332,4.99E-08,121,7.78E-05,TRUE,10
964,YDR342C,362506.3261,372062.1813,382270.7756,810086.0786,788532.5306,817147.527,2.07E-06,0.495580917,1.93E-06,122,7.72E-05,TRUE,18
1650,YGR044C,860243.461,850837.6982,884134.3811,417196.3783,401266.8485,419476.1381,2.11E-06,0.532664557,2.45E-06,123,7.82E-05,TRUE,3
1553,YGL173C,832184.0681,829956.0683,828294.0523,431782.6631,453973.4765,435721.2817,2.12E-06,0.476699122,5.98E-07,124,7.81E-05,TRUE,77
3006,YLR325C,517718.426,511492.455,516129.0699,695305.1944,696348.8561,682966.5108,2.15E-06,0.561780683,2.97E-06,125,7.85E-05,TRUE,29
438,YCL057C-A,348948.2225,359687.585,347673.9085,823383.7434,794055.678,844014.0006,2.16E-06,0.463437393,6.25E-06,126,7.81E-05,TRUE,2
2382,YJR034W,447515.6226,431760.8701,443822.9629,751450.8972,759744.0304,740875.7199,2.17E-06,0.575260852,1.79E-06,127,7.78E-05,TRUE,6
4394,YPL245W,432821.7838,427398.2424,445943.6673,759086.3321,759278.1585,747979.5145,2.17E-06,0.557214582,1.12E-06,128,7.74E-05,TRUE,21
1060,YDR462W,346643.069,336325.2258,353023.033,840030.5077,841402.34,800970.8335,2.17E-06,0.563465166,4.39E-06,129,7.68E-05,TRUE,5
1849,YHL013C,499732.7669,499653.0988,505008.0117,706551.2911,691672.0456,708081.9716,2.18E-06,0.489476871,3.43E-06,130,7.65E-05,TRUE,12
4491,YPR109W,1150785.492,1163486.502,1260271.712,152262.9932,167656.1624,145712.557,2.22E-06,0.475277401,7.91E-06,131,7.74E-05,TRUE,1
659,YDL181W,138455.6384,132721.3593,154828.7511,979749.1658,1018942.303,971826.7833,2.26E-06,0.56265349,7.58E-07,132,7.82E-05,TRUE,3
2021,YHR179W,1028440.586,1047730.768,950550.3206,293117.1619,294619.2501,299097.2977,2.27E-06,0.549698637,1.80E-05,133,7.77E-05,TRUE,48
4197,YOR386W,876467.1355,873003.1731,852761.6026,406682.274,423502.445,400713.3096,2.28E-06,0.48914978,1.40E-06,134,7.77E-05,TRUE,2
3904,YOL145C,653634.4467,653196.8943,652299.5883,583615.1506,582454.1318,578216.0355,2.28E-06,0.507367409,1.84E-06,135,7.72E-05,TRUE,32
1743,YGR167W,768579.8225,764463.6264,754659.7284,488710.974,503254.0811,490057.732,2.29E-06,0.486412124,1.71E-06,136,7.70E-05,TRUE,24
2111,YIL088C,890607.6253,903889.0248,847794.9128,396555.6244,401772.1838,398116.1091,2.31E-06,0.540373472,9.20E-06,137,7.69E-05,TRUE,1
2173,YIL162W,902755.4136,891151.6485,886363.3451,381981.533,405550.1527,381917.0245,2.32E-06,0.474198786,6.81E-07,138,7.67E-05,TRUE,19
4431,YPR023C,495373.4112,501975.8588,505332.2098,711334.6804,700637.3409,696864.7624,2.35E-06,0.50486876,2.68E-06,139,7.72E-05,TRUE,11
